"","x"
"shares",1
"kw_avg_avg",0.104108125199458
"LDA_03",0.0788440660434787
"self_reference_min_shares",0.0607064465793644
"kw_max_avg",0.0599322043139843
"self_reference_avg_sharess",0.0598992810218141
"global_subjectivity",0.0509416389112784
"num_hrefs",0.0508016640310616
"self_reference_max_shares",0.0485787687700799
"kw_avg_max",0.0450261205322529
"num_imgs",0.0381887542747808
"kw_min_avg",0.0375553462490562
"kw_max_min",0.0298376262226015
"kw_avg_min",0.0294996457986821
"num_videos",0.0285299462402357
"abs_title_sentiment_polarity",0.0277026566073092
"avg_positive_polarity",0.0249166644487085
"max_positive_polarity",0.0228004193397439
"title_subjectivity",0.0225189833459362
"weekday_is_saturday",0.0188461226680767
"is_weekend",0.0185858511502906
"global_rate_negative_words",0.0172155416655097
"num_keywords",0.0152978846969736
"n_tokens_content",0.0137753769622745
"kw_max_max",0.0132044578466838
"title_sentiment_polarity",0.0108033941521109
"rate_negative_words",0.0093619174394205
"weekday_is_monday",0.00870604454136655
"n_tokens_title",0.00847843169004736
"weekday_is_sunday",0.00687754244946017
"data_channel_is_lifestyle",0.00678761272321325

"global_rate_positive_words",0.00395198669374227
"data_channel_is_socmed",0.00381702912802952
"abs_title_subjectivity",0.00315567889501457
"kw_min_max",0.00265062547817984
"global_sentiment_polarity",0.0023459838735357
"n_unique_tokens",0.00200151776424571
"n_non_stop_words",0.00155274763025836
"min_positive_polarity",0.000168396355862938
"LDA_00",-0.00202976385273269
"weekday_is_wednesday",-0.00257024134803849
"num_self_hrefs",-0.00259354469357141
"average_token_length",-0.00263976883966575
"weekday_is_friday",-0.00434940627774359

"kw_min_min",-0.00535906418540803
"timedelta",-0.00644732237068939
"rate_positive_words",-0.00739998353560631
"n_non_stop_unique_tokens",-0.00857272192318831
"weekday_is_tuesday",-0.00891498831557796
"weekday_is_thursday",-0.00907290051264858
"data_channel_is_bus",-0.0114801104885775
"LDA_01",-0.0121421656726113
"data_channel_is_tech",-0.0153453233399006
"data_channel_is_entertainment",-0.0165482425669177
"LDA_04",-0.0191805046370534
"max_negative_polarity",-0.0229506074287817
"min_negative_polarity",-0.0337207091975885
"data_channel_is_world",-0.0438509790447576
"avg_negative_polarity",-0.0449169972676859
"LDA_02",-0.0518485254839735
