RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           13     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.907D-02  4.744D+00
    1    3     1     0  ---    1  2.7D-01  2.0D-02  4.494D-02  4.743D+00
    2    4     0     0  con    0  1.0D+00  2.5D-02  3.034D-02  4.742D+00
    3    5     0     0  con    0  1.0D+00  4.7D-02  2.401D-02  4.741D+00
    4    6     0     0  con    0  1.0D+00  1.0D-01  4.777D-02  4.739D+00
    5    7     0     0  con    0  1.0D+00  8.4D-02  1.875D-02  4.738D+00
    6    8     0     0  con    0  1.0D+00  2.2D-02  1.725D-02  4.737D+00
    7    9     0     0  con    0  1.0D+00  2.6D-02  1.396D-02  4.737D+00
    8   10     0     0  con    0  1.0D+00  3.9D-02  1.812D-02  4.737D+00
    9   11     0     0  con    0  1.0D+00  8.5D-02  1.542D-02  4.736D+00
   10   12     0     0  con    0  1.0D+00  4.0D-02  1.086D-02  4.736D+00
   11   13     0     0  con    0  1.0D+00  1.5D-02  5.939D-03  4.736D+00
   12   14     0     0  con    0  1.0D+00  1.5D-02  7.043D-03  4.736D+00
   13   15     0     0  con    0  1.0D+00  3.4D-02  1.131D-02  4.736D+00
   14   16     0     0  con    0  1.0D+00  8.0D-02  1.921D-02  4.735D+00
   15   17     0     0  con    0  1.0D+00  7.4D-02  1.911D-02  4.735D+00
   16   19     0     0  con    1  3.3D-01  2.3D-02  1.104D-02  4.735D+00
   17   20     0     0  con    0  1.0D+00  2.6D-02  4.465D-03  4.735D+00
   18   21     0     0  con    0  1.0D+00  1.2D-02  2.668D-03  4.735D+00
   19   22     0     0  con    0  1.0D+00  1.6D-02  6.674D-03  4.735D+00
   20   23     0     0  con    0  1.0D+00  1.5D-02  4.646D-03  4.735D+00
   21   24     0     0  con    0  1.0D+00  3.6D-02  4.285D-03  4.735D+00
   22   25     0     0  con    0  1.0D+00  3.4D-02  5.096D-03  4.735D+00
   23   27     0     0  con    1  5.0D-01  1.8D-02  4.796D-03  4.735D+00
   24   28     0     0  con    0  1.0D+00  1.0D-02  5.869D-04  4.735D+00
   25   29     0     0  con    0  1.0D+00  8.7D-03  5.254D-04  4.735D+00
   26   30     0     0  con    0  1.0D+00  3.9D-03  5.213D-04  4.735D+00
   27   31     0     0  con    0  1.0D+00  2.6D-03  2.551D-04  4.735D+00
   28   32     0     0  con    0  1.0D+00  1.3D-03  2.613D-04  4.735D+00
   29   33     0     0  con    0  1.0D+00  5.9D-03  8.136D-04  4.735D+00
   30   34     0     0  con    0  1.0D+00  7.2D-03  1.383D-03  4.735D+00
   31   35     0     0  con    0  1.0D+00  2.9D-03  3.691D-04  4.735D+00
   32   36     0     0  con    0  1.0D+00  1.7D-03  1.601D-04  4.735D+00
   33   37     0     0  con    0  1.0D+00  1.9D-03  4.416D-04  4.735D+00
   34   38     0     0  con    0  1.0D+00  1.0D-03  7.727D-05  4.735D+00
   35   39     0     0  con    0  1.0D+00  2.6D-04  5.889D-05  4.735D+00
   36   41     0     0  con    1  3.2D-01  1.6D-04  8.393D-05  4.735D+00
   37   42     0     0  con    0  1.0D+00  2.1D-04  3.260D-05  4.735D+00
   38   44     0     0  con    1  4.5D-01  5.7D-04  9.281D-05  4.735D+00
   39   46     0     0  con    1  1.4D-01  4.8D-04  9.113D-05  4.735D+00
   40   47     0     0  con    0  1.0D+00  7.4D-04  1.217D-04  4.735D+00
   41   48     0     0  con    0  1.0D+00  6.7D-04  4.849D-05  4.735D+00
   42   49     0     0  con    0  1.0D+00  7.6D-04  9.139D-05  4.735D+00
   43   50     0     0  con    0  1.0D+00  5.5D-04  1.670D-04  4.735D+00
   44   51     0     0  con    0  1.0D+00  6.9D-04  1.029D-04  4.735D+00
   45   53     0     0  con    1  3.4D-01  6.4D-04  5.524D-05  4.735D+00
   46   55     0     0  con    1  2.1D-01  8.7D-04  7.843D-05  4.735D+00
   47   56     0     0  con    0  1.0D+00  4.5D-04  9.051D-05  4.735D+00
   48   58     0     0  con    1  4.9D-01  3.7D-04  1.336D-04  4.735D+00
   49   59     0     0  con    0  1.0D+00  1.6D-04  4.130D-05  4.735D+00
   50   61     0     0  con    1  7.3D-02  3.2D-04  1.734D-04  4.735D+00
   51   62     0     0  con    0  1.0D+00  2.3D-04  7.452D-05  4.735D+00
   52   63     0     0  con    0  1.0D+00  1.1D-04  3.215D-05  4.735D+00

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

